Date	Open	High	Low	Close
Mar 14, 2018	1071.50	1073.12	924.41	949.47
Mar 13, 2018	1051.07	1100.07	999.75	1064.03
Mar 12, 2018	1143.94	1152.56	1022.03	1051.28
Mar 11, 2018	1002.55	1157.07	973.36	1145.17
Mar 10, 2018	1071.15	1087.30	994.19	1005.93
Mar 09, 2018	1034.69	1071.65	937.97	1067.02
Mar 08, 2018	1094.64	1113.61	1006.86	1040.21
Mar 07, 2018	1205.84	1218.84	1043.70	1092.16
Mar 06, 2018	1264.19	1264.19	1179.85	1206.04
Mar 05, 2018	1287.10	1291.88	1268.03	1268.03
Mar 04, 2018	1267.86	1289.72	1225.10	1289.08
Mar 03, 2018	1274.67	1302.80	1257.76	1270.38
Mar 02, 2018	1284.95	1303.66	1255.37	1275.18
Mar 01, 2018	1204.84	1303.45	1195.03	1291.92
Feb 28, 2018	1243.26	1275.66	1204.16	1204.16
Feb 27, 2018	1255.45	1297.69	1231.99	1246.66
Feb 26, 2018	1177.58	1274.86	1149.44	1250.56
Feb 25, 2018	1191.35	1210.20	1143.07	1178.10
Feb 24, 2018	1266.56	1309.38	1149.48	1193.27
Feb 23, 2018	1217.36	1319.33	1161.42	1270.71
Feb 22, 2018	1304.66	1350.34	1194.05	1219.49
Feb 21, 2018	1412.85	1423.94	1293.47	1308.46
Feb 20, 2018	1543.27	1569.03	1414.35	1418.73
Feb 19, 2018	1483.34	1553.81	1483.34	1534.77
Feb 18, 2018	1552.10	1641.40	1428.49	1487.46
Feb 17, 2018	1548.48	1568.64	1517.14	1551.39
Feb 16, 2018	1373.16	1558.66	1369.68	1552.20
Feb 15, 2018	1358.65	1400.71	1330.18	1375.81
Feb 14, 2018	1229.18	1384.06	1229.18	1362.27
Feb 13, 2018	1285.23	1289.42	1205.73	1231.98
Feb 12, 2018	1222.43	1302.66	1222.43	1283.91
Feb 11, 2018	1255.59	1306.20	1197.87	1217.64
Feb 10, 2018	1311.99	1394.81	1215.72	1257.31
Feb 09, 2018	1273.87	1342.41	1206.39	1312.11
Feb 08, 2018	951.57	1345.20	951.57	1284.56
Feb 07, 2018	971.08	1040.49	902.49	957.96
Feb 06, 2018	890.97	978.91	764.02	974.52
Feb 05, 2018	1159.89	1172.70	839.95	887.41
Feb 04, 2018	1273.17	1286.98	1101.31	1165.38
Feb 03, 2018	1194.23	1314.43	1072.83	1272.50
Feb 02, 2018	1272.50	1272.50	980.78	1191.14
Feb 01, 2018	1491.12	1503.30	1214.88	1274.35
Jan 31, 2018	1470.74	1522.87	1406.25	1486.89
Jan 30, 2018	1657.69	1662.07	1468.17	1470.55
Jan 29, 2018	1745.36	1763.24	1638.33	1657.14
Jan 28, 2018	1636.41	1762.34	1636.41	1746.25
Jan 27, 2018	1602.50	1665.81	1567.78	1628.63
Jan 26, 2018	1637.19	1678.63	1500.37	1603.90
Jan 25, 2018	1661.04	1707.70	1611.04	1642.12
Jan 24, 2018	1622.15	1703.34	1575.42	1639.13
Jan 23, 2018	1623.14	1700.34	1504.72	1621.46
Jan 22, 2018	1794.46	1815.42	1525.50	1621.92
Jan 21, 2018	2033.70	2033.70	1733.99	1776.64
Jan 20, 2018	1784.26	2124.45	1780.45	2032.12
Jan 19, 2018	1740.17	1870.78	1723.87	1769.62
Jan 18, 2018	1752.27	1893.47	1696.25	1756.75
Jan 17, 2018	1767.58	1875.08	1361.02	1748.05
Jan 16, 2018	2406.86	2406.86	1555.97	1772.07
Jan 15, 2018	2541.58	2576.13	2328.31	2401.54
Jan 14, 2018	2687.10	2746.61	2490.04	2553.32
Jan 13, 2018	2617.66	2850.27	2589.03	2685.29
Jan 12, 2018	2475.90	2648.23	2413.33	2620.99
Jan 11, 2018	2891.55	2976.49	2396.84	2462.61
Jan 10, 2018	2390.02	2961.20	2332.48	2895.38
Jan 09, 2018	2412.36	2502.87	2346.68	2391.56
Jan 08, 2018	2786.60	2810.32	2275.07	2421.47
Jan 07, 2018	2784.68	3071.16	2730.31	2786.88
Jan 06, 2018	2583.71	2829.69	2481.36	2786.65
Jan 05, 2018	2400.74	2648.32	2370.59	2584.48
Jan 04, 2018	2608.87	2610.20	2359.30	2430.18
Jan 03, 2018	2700.55	2958.47	2592.56	2608.69
Jan 02, 2018	2434.50	2867.14	2434.50	2711.00
Jan 01, 2018	2534.82	2534.86	2389.52	2432.54
Dec 31, 2017	2376.96	2627.95	2350.03	2533.01
Dec 30, 2017	2791.55	2791.55	2329.47	2392.41
Dec 29, 2017	2587.30	2922.41	2389.04	2779.95
Dec 28, 2017	2888.64	2896.78	2481.30	2566.64
Dec 27, 2017	3108.32	3108.32	2771.05	2889.52
Dec 26, 2017	2947.74	3112.64	2915.80	3108.89
Dec 25, 2017	2929.35	3099.62	2755.60	2954.69
Dec 24, 2017	3260.55	3260.55	2573.44	2903.12
Dec 23, 2017	2746.95	3479.71	2684.82	3257.08
Dec 22, 2017	3324.00	3369.55	1938.36	2696.69
Dec 21, 2017	3909.00	3909.00	3038.01	3267.17
Dec 20, 2017	2825.03	4355.62	2825.03	3923.07
Dec 19, 2017	2199.06	2918.93	2160.92	2805.89
Dec 18, 2017	1869.21	2353.64	1799.12	2196.64
Dec 17, 2017	1812.33	1939.93	1806.65	1862.88
Dec 16, 2017	1824.85	1890.06	1769.50	1801.88
Dec 15, 2017	1974.66	1974.66	1678.06	1815.43
Dec 14, 2017	1600.67	2080.41	1593.15	1966.14
Dec 13, 2017	1616.99	1702.53	1497.94	1607.65
Dec 12, 2017	1427.38	1638.29	1427.38	1615.03
