Date	Open	High	Low	Close
Jan 30, 2018	12.77	12.77	11.06	11.25
Jan 29, 2018	13.55	13.67	12.68	12.76
Jan 28, 2018	13.30	13.81	13.20	13.54
Jan 27, 2018	13.23	13.44	12.89	13.25
Jan 26, 2018	13.21	13.59	12.29	13.22
Jan 25, 2018	13.76	14.14	13.06	13.23
Jan 24, 2018	13.19	14.19	12.79	13.63
Jan 23, 2018	13.00	13.96	11.79	13.09
Jan 22, 2018	14.20	14.45	11.91	13.01
Jan 21, 2018	16.25	16.25	13.36	14.07
Jan 20, 2018	15.03	16.65	15.03	16.19
Jan 19, 2018	14.31	15.64	13.99	14.94
Jan 18, 2018	14.25	15.96	13.51	14.28
Jan 17, 2018	13.62	15.54	9.66	14.20
Jan 16, 2018	19.63	19.63	10.44	13.89
Jan 15, 2018	20.80	23.60	19.33	19.56
Jan 14, 2018	22.25	22.25	19.14	20.78
Jan 13, 2018	22.35	23.67	21.37	22.17
Jan 12, 2018	21.48	24.91	19.93	22.32
Jan 11, 2018	17.57	23.15	15.29	21.04
Jan 10, 2018	17.71	17.71	15.17	17.39
Jan 09, 2018	18.17	20.32	16.80	17.41
Jan 08, 2018	18.65	19.22	15.35	18.26
Jan 07, 2018	22.77	22.77	18.24	18.66
Jan 06, 2018	14.87	23.51	14.82	22.76
Jan 05, 2018	9.15	16.72	9.09	14.92
Jan 04, 2018	9.45	9.54	8.85	9.21
Jan 03, 2018	8.77	9.58	8.53	9.54
Jan 02, 2018	8.46	9.12	8.22	8.84
Jan 01, 2018	8.63	8.70	7.96	8.41
Dec 31, 2017	7.76	8.84	7.71	8.64
Dec 30, 2017	8.71	8.76	7.19	7.84
Dec 29, 2017	9.32	9.53	8.54	8.81
Dec 28, 2017	10.13	10.20	8.15	9.32
Dec 27, 2017	9.25	11.30	8.49	10.11
Dec 26, 2017	6.56	10.62	6.50	9.03
Dec 25, 2017	5.31	6.96	5.25	6.56
Dec 24, 2017	4.74	5.29	4.20	5.29
Dec 23, 2017	4.39	5.13	4.31	4.84
Dec 22, 2017	5.21	5.21	3.51	4.34
Dec 21, 2017	5.18	5.70	4.81	5.18
Dec 20, 2017	5.79	5.79	4.93	5.18
Dec 19, 2017	5.65	6.55	5.58	5.79
Dec 18, 2017	5.79	6.22	5.28	5.62
Dec 17, 2017	4.67	6.75	4.67	5.76
Dec 16, 2017	4.17	4.73	3.92	4.66
Dec 15, 2017	3.16	4.41	3.14	4.00
Dec 14, 2017	2.77	3.16	2.77	3.16
Dec 13, 2017	2.69	2.88	2.57	2.78
Dec 12, 2017	2.73	2.78	2.61	2.68
Dec 11, 2017	2.51	2.82	2.50	2.71
Dec 10, 2017	2.66	2.70	2.21	2.48
Dec 09, 2017	2.83	2.87	2.33	2.61
Dec 08, 2017	2.77	2.87	2.26	2.83
Dec 07, 2017	2.55	2.91	2.49	2.78
Dec 06, 2017	2.58	2.78	2.35	2.59
Dec 05, 2017	2.50	2.73	2.50	2.60
Dec 04, 2017	2.26	2.58	2.26	2.49
Dec 03, 2017	2.09	2.38	2.05	2.23
Dec 02, 2017	2.08	2.12	2.00	2.08
Dec 01, 2017	2.00	2.14	1.92	2.07
Nov 30, 2017	1.76	2.05	1.76	2.00
Nov 29, 2017	1.92	2.05	1.68	1.75
Nov 28, 2017	1.96	1.96	1.87	1.92
Nov 27, 2017	1.87	1.95	1.79	1.94
Nov 26, 2017	1.89	1.94	1.83	1.85
Nov 25, 2017	1.72	1.96	1.69	1.87
Nov 24, 2017	1.57	1.82	1.56	1.72
Nov 23, 2017	1.61	1.62	1.54	1.55
Nov 22, 2017	1.59	1.62	1.56	1.61
Nov 21, 2017	1.66	1.66	1.55	1.57
Nov 20, 2017	1.63	1.66	1.56	1.62
Nov 19, 2017	1.67	1.70	1.57	1.61
Nov 18, 2017	1.51	1.68	1.50	1.67
Nov 17, 2017	1.58	1.58	1.50	1.51
Nov 16, 2017	1.56	1.68	1.54	1.58
Nov 15, 2017	1.59	1.62	1.50	1.53
Nov 14, 2017	1.69	1.74	1.57	1.59
Nov 13, 2017	1.53	1.74	1.52	1.69
Nov 12, 2017	1.67	1.67	1.46	1.52
Nov 11, 2017	1.79	1.92	1.61	1.67
Nov 10, 2017	2.01	2.07	1.64	1.80
Nov 09, 2017	2.05	2.17	1.89	1.99
Nov 08, 2017	1.80	2.06	1.78	2.03
Nov 07, 2017	1.57	1.82	1.55	1.81
Nov 06, 2017	1.53	1.67	1.48	1.57
Nov 05, 2017	1.64	1.64	1.46	1.52
