Date	Open	High	Low	Close
Jan 30, 2018	1184.13	1184.63	1058.97	1071.13
Jan 29, 2018	1246.70	1256.70	1169.08	1182.36
Jan 28, 2018	1111.78	1257.77	1111.78	1246.01
Jan 27, 2018	1055.75	1121.98	1042.12	1107.07
Jan 26, 2018	1052.70	1080.60	996.78	1055.17
Jan 25, 2018	1063.22	1104.66	1034.74	1056.03
Jan 24, 2018	987.48	1062.44	965.81	1058.78
Jan 23, 2018	1004.17	1023.23	920.54	986.23
Jan 22, 2018	1055.35	1089.10	930.74	1003.26
Jan 21, 2018	1155.68	1155.68	1021.50	1049.58
Jan 20, 2018	1044.95	1167.11	1044.95	1155.15
Jan 19, 2018	1028.82	1093.22	1003.71	1039.10
Jan 18, 2018	1016.44	1100.31	967.76	1036.28
Jan 17, 2018	1061.34	1090.23	780.92	1014.25
Jan 16, 2018	1292.63	1292.63	875.54	1053.69
Jan 15, 2018	1365.21	1390.59	1290.60	1291.92
Jan 14, 2018	1397.48	1400.56	1286.21	1366.77
Jan 13, 2018	1270.47	1432.88	1270.47	1396.42
Jan 12, 2018	1158.29	1296.04	1120.09	1273.20
Jan 11, 2018	1268.09	1337.30	1135.17	1154.93
Jan 10, 2018	1300.34	1417.38	1226.60	1255.82
Jan 09, 2018	1146.00	1320.98	1145.49	1299.74
Jan 08, 2018	1158.26	1266.93	1016.05	1148.53
Jan 07, 2018	1043.01	1153.17	1043.01	1153.17
Jan 06, 2018	995.15	1060.71	994.62	1041.68
Jan 05, 2018	975.75	1075.39	956.33	997.72
Jan 04, 2018	961.71	1045.08	946.09	980.92
Jan 03, 2018	886.00	974.47	868.45	962.72
Jan 02, 2018	772.35	914.83	772.35	884.44
Jan 01, 2018	755.76	782.53	742.00	772.64
Dec 31, 2017	712.21	760.35	710.12	756.73
Dec 30, 2017	753.82	753.82	685.23	717.26
Dec 29, 2017	740.39	770.12	729.61	753.59
Dec 28, 2017	762.21	763.32	701.19	737.02
Dec 27, 2017	774.97	789.25	738.41	762.84
Dec 26, 2017	763.37	786.79	760.93	773.84
Dec 25, 2017	698.87	782.52	698.87	765.83
Dec 24, 2017	721.77	721.77	614.92	694.15
Dec 23, 2017	681.32	763.89	679.73	719.39
Dec 22, 2017	822.64	827.68	543.76	674.86
Dec 21, 2017	820.24	880.54	792.69	821.06
Dec 20, 2017	827.52	845.06	756.00	819.09
Dec 19, 2017	793.90	881.94	785.34	826.82
Dec 18, 2017	721.73	803.93	689.23	794.64
Dec 17, 2017	696.24	735.83	696.24	719.98
Dec 16, 2017	686.19	718.38	680.79	696.21
Dec 15, 2017	696.38	697.13	621.06	684.45
Dec 14, 2017	700.59	753.12	664.99	695.82
Dec 13, 2017	644.91	747.99	597.80	702.77
Dec 12, 2017	522.29	657.32	504.49	651.43
Dec 11, 2017	440.36	516.97	439.10	515.14
Dec 10, 2017	472.79	472.79	429.51	441.72
Dec 09, 2017	457.34	504.15	456.25	473.50
Dec 08, 2017	434.99	466.06	422.37	456.03
Dec 07, 2017	426.37	441.40	414.41	434.41
Dec 06, 2017	462.60	462.71	420.21	428.59
Dec 05, 2017	470.29	473.56	457.66	463.28
Dec 04, 2017	466.05	474.78	453.31	470.20
Dec 03, 2017	463.70	482.81	451.85	465.85
Dec 02, 2017	466.85	476.24	456.65	463.45
Dec 01, 2017	445.21	472.61	428.31	466.54
Nov 30, 2017	431.21	465.50	401.24	447.11
Nov 29, 2017	473.28	522.31	425.07	427.52
Nov 28, 2017	480.52	482.48	466.35	472.90
Nov 27, 2017	471.53	493.40	468.49	480.36
Nov 26, 2017	465.97	472.72	451.61	471.33
Nov 25, 2017	475.68	485.19	461.05	466.28
Nov 24, 2017	412.50	480.97	402.76	474.91
Nov 23, 2017	381.44	425.55	376.09	410.17
Nov 22, 2017	360.31	381.42	360.15	380.65
Nov 21, 2017	367.44	372.47	350.69	360.40
Nov 20, 2017	354.09	372.14	353.29	366.73
Nov 19, 2017	347.40	371.29	344.74	354.39
Nov 18, 2017	331.98	349.62	327.69	347.61
Nov 17, 2017	330.17	334.96	327.52	332.39
Nov 16, 2017	333.44	336.16	323.61	330.92
Nov 15, 2017	337.96	340.91	329.81	333.36
Nov 14, 2017	316.76	340.18	316.76	337.63
Nov 13, 2017	307.02	328.42	307.02	316.72
Nov 12, 2017	314.69	319.15	298.51	307.91
Nov 11, 2017	298.59	319.45	298.19	314.68
Nov 10, 2017	320.67	324.72	294.54	299.25
Nov 09, 2017	308.64	329.45	307.06	320.88
Nov 08, 2017	294.27	318.70	293.10	309.07
Nov 07, 2017	298.57	304.84	290.77	294.66
Nov 06, 2017	296.43	305.42	293.72	298.89
Nov 05, 2017	300.04	301.37	295.12	296.26
Nov 04, 2017	305.48	305.48	295.80	300.47
Nov 03, 2017	288.50	308.31	287.69	305.71
Nov 02, 2017	290.73	293.91	281.17	287.43
Nov 01, 2017	305.76	306.40	290.58	291.69
Oct 31, 2017	307.38	310.55	305.88	305.88
Oct 30, 2017	304.78	310.50	304.35	307.75
Oct 29, 2017	296.38	313.75	296.38	305.09
Oct 28, 2017	297.92	300.36	293.58	296.30
Oct 27, 2017	296.51	299.26	294.06	297.42
Oct 26, 2017	298.02	301.07	295.22	296.53
Oct 25, 2017	298.44	301.85	290.72	297.93
Oct 24, 2017	287.12	311.96	282.66	298.33
Oct 23, 2017	295.10	295.75	277.57	286.95
Oct 22, 2017	300.55	305.50	292.81	295.45
Oct 21, 2017	303.57	303.93	291.77	300.19
Oct 20, 2017	308.05	311.44	303.49	304.01
Oct 19, 2017	314.54	316.71	305.83	308.09
Oct 18, 2017	316.94	317.24	290.64	314.32
Oct 17, 2017	333.48	333.48	311.79	317.08
Oct 16, 2017	336.71	349.35	332.04	333.38
Oct 15, 2017	339.53	342.72	320.43	336.60
Oct 14, 2017	338.85	347.98	334.70	339.63
Oct 13, 2017	304.08	348.60	299.66	338.76
Oct 12, 2017	303.50	309.15	303.29	304.14
Oct 11, 2017	301.18	304.39	299.10	303.46
Oct 10, 2017	297.60	306.15	293.17	299.87
Oct 09, 2017	308.67	309.31	288.19	297.39
Oct 08, 2017	311.06	312.54	308.03	308.61
Oct 07, 2017	308.89	313.13	304.98	311.12
Oct 06, 2017	295.15	308.84	294.95	308.59
Oct 05, 2017	292.77	298.04	288.84	295.86
Oct 04, 2017	292.75	299.39	290.89	292.66
Oct 03, 2017	297.48	300.11	288.13	292.46
Oct 02, 2017	302.48	302.92	294.58	297.48
Oct 01, 2017	301.55	303.19	295.06	302.34
Sep 30, 2017	291.48	303.96	291.11	301.46
Sep 29, 2017	299.12	299.92	279.77	291.47
Sep 28, 2017	306.47	307.20	295.47	299.15
Sep 27, 2017	287.02	308.01	286.82	306.47
Sep 26, 2017	292.35	293.75	287.02	287.44
Sep 25, 2017	282.22	293.51	281.88	292.33
Sep 24, 2017	286.21	292.95	278.13	282.48
Sep 23, 2017	264.60	286.17	261.12	286.17
Sep 22, 2017	258.11	270.54	256.22	264.31
Sep 21, 2017	283.26	286.61	255.02	258.58
Sep 20, 2017	282.01	290.89	278.05	283.74
Sep 19, 2017	293.66	295.77	274.48	282.80
Sep 18, 2017	252.23	293.50	252.23	293.50
Sep 17, 2017	245.85	257.00	235.24	251.75
Sep 16, 2017	250.87	262.59	238.22	246.52
Sep 15, 2017	215.22	258.65	195.03	250.46
Sep 14, 2017	276.59	280.84	213.91	213.91
Sep 13, 2017	291.12	291.12	260.61	277.11
Sep 12, 2017	294.63	311.19	287.23	291.46
Sep 11, 2017	289.75	300.69	286.69	294.53
Sep 10, 2017	294.06	294.76	268.97	288.75
Sep 09, 2017	296.17	299.89	287.22	294.40
Sep 08, 2017	329.64	329.64	285.16	296.50
Sep 07, 2017	333.52	333.52	319.94	329.43
Sep 06, 2017	313.80	334.66	313.49	334.34
Sep 05, 2017	297.57	318.57	268.29	312.99
Sep 04, 2017	347.13	347.13	279.94	295.17
Sep 03, 2017	350.23	366.49	332.23	347.48
Sep 02, 2017	387.82	389.35	328.10	348.98
Sep 01, 2017	383.47	390.04	383.47	387.74
Aug 31, 2017	378.44	386.14	376.35	383.04
Aug 30, 2017	369.47	388.75	361.97	378.49
Aug 29, 2017	347.96	373.76	347.79	370.67
Aug 28, 2017	350.04	352.05	338.41	347.75
Aug 27, 2017	334.36	347.89	334.36	347.89
Aug 26, 2017	331.99	334.99	327.92	333.88
Aug 25, 2017	326.11	336.40	325.80	331.92
Aug 24, 2017	317.45	327.96	317.08	325.61
Aug 23, 2017	315.27	324.21	314.54	317.52
Aug 22, 2017	321.06	327.36	297.91	314.79
Aug 21, 2017	300.48	347.05	297.23	321.59
Aug 20, 2017	296.64	301.43	291.58	301.43
Aug 19, 2017	296.18	301.67	286.18	297.47
Aug 18, 2017	301.70	307.96	292.50	295.59
Aug 17, 2017	302.81	311.03	300.25	301.46
Aug 16, 2017	289.82	303.41	285.38	302.27
Aug 15, 2017	299.95	300.41	279.33	289.82
Aug 14, 2017	298.03	306.81	296.41	300.10
Aug 13, 2017	310.37	310.82	289.31	298.06
Aug 12, 2017	308.71	317.56	307.90	310.60
Aug 11, 2017	294.50	309.21	294.50	308.86
Aug 10, 2017	296.96	306.59	289.93	295.89
Aug 09, 2017	297.63	318.72	276.69	296.03
Aug 08, 2017	269.10	298.91	266.80	296.77
Aug 07, 2017	261.24	271.96	256.69	269.18
Aug 06, 2017	256.42	271.05	252.85	261.57
Aug 05, 2017	222.85	256.51	221.95	256.51
Aug 04, 2017	225.31	227.62	222.06	223.07
Aug 03, 2017	220.18	228.29	219.89	225.34
Aug 02, 2017	227.01	229.51	218.12	219.95
Aug 01, 2017	204.69	227.74	204.69	226.77
Jul 31, 2017	197.41	203.87	193.41	203.87
Jul 30, 2017	206.74	208.54	196.15	197.98
Jul 29, 2017	193.34	208.68	179.65	205.79
Jul 28, 2017	204.32	204.90	192.30	193.12
Jul 27, 2017	204.86	206.44	201.26	204.32
Jul 26, 2017	207.09	210.77	194.78	203.95
Jul 25, 2017	224.37	225.32	195.84	206.71
Jul 24, 2017	226.28	227.54	222.45	224.71
Jul 23, 2017	229.12	231.68	217.72	225.95
Jul 22, 2017	217.86	232.70	216.87	229.48
Jul 21, 2017	226.06	235.12	213.01	218.31
Jul 20, 2017	205.42	233.90	203.22	227.26
Jul 19, 2017	234.94	245.65	191.75	199.70
Jul 18, 2017	195.03	267.99	182.06	234.39
Jul 17, 2017	159.99	194.75	158.04	193.42
Jul 16, 2017	169.57	172.01	133.72	157.36
Jul 15, 2017	199.71	200.16	170.66	170.66
Jul 14, 2017	209.53	211.10	187.37	199.66
Jul 13, 2017	231.81	231.81	200.06	209.73
Jul 12, 2017	197.15	230.77	189.59	230.77
Jul 11, 2017	211.53	220.29	183.39	197.40
Jul 10, 2017	243.01	243.07	196.97	215.36
Jul 09, 2017	251.82	255.10	242.14	242.14
Jul 08, 2017	245.89	273.48	236.55	251.70
Jul 07, 2017	270.35	273.94	244.17	245.99
Jul 06, 2017	268.86	278.48	265.51	270.55
Jul 05, 2017	273.10	275.13	261.45	268.77
Jul 04, 2017	282.19	287.39	273.11	273.30
Jul 03, 2017	288.41	291.10	281.18	282.90
Jul 02, 2017	275.12	295.51	262.52	287.99
Jul 01, 2017	293.35	293.75	268.62	274.60
Jun 30, 2017	303.15	315.17	288.44	294.92
Jun 29, 2017	328.37	330.71	297.37	302.88
Jun 28, 2017	293.04	333.10	276.41	327.93
Jun 27, 2017	272.69	293.09	227.14	293.09
Jun 26, 2017	302.95	311.46	238.65	272.69
Jun 25, 2017	323.47	332.79	284.65	303.25
Jun 24, 2017	341.63	343.62	322.09	323.70
Jun 23, 2017	336.49	348.01	334.99	341.74
Jun 22, 2017	337.73	342.03	330.62	336.37
Jun 21, 2017	359.54	361.34	319.48	336.87
Jun 20, 2017	370.33	377.97	350.94	359.00
Jun 19, 2017	371.86	377.12	369.76	370.06
Jun 18, 2017	379.52	390.58	368.84	371.46
Jun 17, 2017	369.88	379.41	364.00	379.41
Jun 16, 2017	361.18	373.06	341.42	370.23
Jun 15, 2017	358.51	364.44	300.70	361.93
Jun 14, 2017	397.59	399.32	342.21	359.05
Jun 13, 2017	395.69	411.18	370.06	397.54
Jun 12, 2017	341.16	414.76	341.16	401.49
Jun 11, 2017	338.79	353.01	318.17	340.61
Jun 10, 2017	282.01	350.26	282.01	337.67
Jun 09, 2017	261.75	282.76	261.75	281.74
Jun 08, 2017	257.99	262.25	253.97	261.67
Jun 07, 2017	264.26	264.67	254.04	258.07
Jun 06, 2017	248.60	267.51	246.84	264.47
Jun 05, 2017	245.26	249.47	243.05	248.46
Jun 04, 2017	224.12	250.41	223.98	245.33
Jun 03, 2017	223.46	225.97	219.42	224.38
Jun 02, 2017	222.29	229.41	219.58	223.78
Jun 01, 2017	230.89	236.22	214.48	222.24
May 31, 2017	231.58	236.97	215.57	230.67
May 30, 2017	195.61	233.71	189.29	231.91
May 29, 2017	170.13	197.13	164.53	194.91
May 28, 2017	158.82	179.94	157.60	170.51
May 27, 2017	159.82	166.95	120.44	157.76
May 26, 2017	175.22	193.69	150.28	160.40
May 25, 2017	189.85	210.98	170.51	174.45
May 24, 2017	182.65	228.37	182.45	190.05
May 23, 2017	170.82	183.55	169.93	181.95
May 22, 2017	158.17	201.75	152.47	174.26
May 21, 2017	127.54	159.03	125.89	157.94
May 20, 2017	129.22	133.64	124.70	126.52
May 19, 2017	97.05	133.56	97.05	129.53
May 18, 2017	89.84	97.37	89.84	96.91
May 17, 2017	89.25	91.27	84.43	89.86
May 16, 2017	92.39	93.56	89.12	89.44
May 15, 2017	90.78	95.43	86.83	92.41
May 14, 2017	90.87	91.25	89.61	90.79
May 13, 2017	88.69	93.81	86.66	90.84
May 12, 2017	89.43	93.12	88.66	88.66
May 11, 2017	89.77	102.55	88.48	89.88
May 10, 2017	91.15	92.85	85.29	89.52
May 09, 2017	91.23	93.06	80.39	91.16
May 08, 2017	93.75	95.14	89.51	91.42
May 07, 2017	97.87	98.24	89.87	94.01
May 06, 2017	94.91	97.88	90.95	97.81
May 05, 2017	96.73	103.23	92.22	94.40
May 04, 2017	79.72	97.56	79.43	96.98
May 03, 2017	77.25	80.10	75.76	79.72
May 02, 2017	76.65	79.35	74.38	77.26
May 01, 2017	79.32	82.52	73.09	76.30
Apr 30, 2017	68.54	79.02	68.35	79.02
Apr 29, 2017	71.39	71.90	66.78	68.38
Apr 28, 2017	62.23	70.85	62.13	70.16
Apr 27, 2017	52.81	62.17	52.29	62.17
Apr 26, 2017	49.91	53.44	49.91	52.72
Apr 25, 2017	50.07	50.30	49.81	49.89
Apr 24, 2017	48.87	50.18	48.87	50.03
Apr 23, 2017	48.59	48.89	48.17	48.49
Apr 22, 2017	48.18	48.74	48.17	48.55
Apr 21, 2017	49.64	49.66	48.14	48.22
Apr 20, 2017	48.13	49.99	48.13	49.67
Apr 19, 2017	50.73	50.95	47.26	48.31
Apr 18, 2017	48.32	51.03	48.30	50.71
Apr 17, 2017	48.66	48.75	48.05	48.30
Apr 16, 2017	49.04	49.14	48.19	48.72
Apr 15, 2017	47.65	49.57	47.18	49.10
Apr 14, 2017	49.97	50.05	46.76	47.57
Apr 13, 2017	46.31	50.91	46.31	50.22
Apr 12, 2017	43.46	47.23	43.11	46.29
Apr 11, 2017	43.50	44.25	43.30	43.41
Apr 10, 2017	43.28	44.14	42.42	43.44
Apr 09, 2017	44.28	44.49	42.89	43.27
Apr 08, 2017	41.80	45.21	41.73	44.31
Apr 07, 2017	42.87	44.04	41.65	42.16
Apr 06, 2017	45.22	45.64	40.90	43.24
Apr 05, 2017	44.66	47.84	44.54	45.30
Apr 04, 2017	43.92	45.74	41.72	44.64
Apr 03, 2017	48.82	48.82	43.41	44.36
Apr 02, 2017	50.74	51.27	45.43	48.75
Apr 01, 2017	50.03	51.93	48.88	50.70
Mar 31, 2017	51.75	51.77	47.38	50.04
Mar 30, 2017	53.12	53.31	51.87	52.21
Mar 29, 2017	50.57	53.87	50.55	53.13
Mar 28, 2017	49.71	50.96	49.15	50.77
Mar 27, 2017	51.31	52.46	48.93	49.67
Mar 26, 2017	50.77	51.80	49.28	50.52
Mar 25, 2017	53.58	53.58	48.31	51.25
Mar 24, 2017	43.64	54.14	43.21	53.11
Mar 23, 2017	42.57	44.75	41.30	43.68
Mar 22, 2017	43.12	43.52	39.69	42.34
Mar 21, 2017	43.51	44.26	42.37	43.15
Mar 20, 2017	44.83	46.23	42.44	43.39
Mar 19, 2017	35.53	47.00	35.34	44.74
Mar 18, 2017	46.87	46.87	31.70	34.16
Mar 17, 2017	45.93	55.11	38.21	46.83
Mar 16, 2017	35.36	47.17	35.36	46.35
Mar 15, 2017	28.65	35.06	28.43	35.06
Mar 14, 2017	28.57	29.93	27.32	28.65
Mar 13, 2017	23.50	30.60	23.50	28.59
Mar 12, 2017	21.46	23.44	21.38	23.44
Mar 11, 2017	19.37	21.59	19.01	21.47
Mar 10, 2017	17.74	19.66	17.68	19.33
Mar 09, 2017	16.64	17.87	16.37	17.75
Mar 08, 2017	18.88	18.88	16.65	16.65
Mar 07, 2017	19.58	19.63	18.64	18.89
Mar 06, 2017	19.28	20.10	19.11	19.61
Mar 05, 2017	18.50	19.42	18.23	19.30
Mar 04, 2017	19.52	20.05	18.62	18.62
Mar 03, 2017	19.04	20.67	18.41	19.46
Mar 02, 2017	17.36	19.35	16.95	19.03
Mar 01, 2017	15.85	17.37	15.56	17.35
Feb 28, 2017	15.45	16.06	15.12	15.82
Feb 27, 2017	14.51	15.68	14.27	15.40
Feb 26, 2017	13.52	14.54	13.40	14.52
Feb 25, 2017	13.06	13.72	12.98	13.55
Feb 24, 2017	13.13	13.23	12.88	13.07
Feb 23, 2017	12.60	13.21	12.56	13.12
Feb 22, 2017	12.69	12.76	12.55	12.60
Feb 21, 2017	12.34	12.77	12.21	12.67
Feb 20, 2017	12.77	12.90	12.43	12.43
Feb 19, 2017	12.82	12.87	12.71	12.76
Feb 18, 2017	12.71	12.83	12.68	12.81
Feb 17, 2017	12.90	12.91	12.66	12.68
Feb 16, 2017	12.92	12.92	12.54	12.90
Feb 15, 2017	13.04	13.04	12.64	12.92
Feb 14, 2017	11.29	13.33	11.29	13.03
Feb 13, 2017	11.38	11.39	11.17	11.27
Feb 12, 2017	11.35	11.40	11.30	11.40
Feb 11, 2017	11.29	11.43	11.24	11.35
Feb 10, 2017	11.04	11.34	10.78	11.28
Feb 09, 2017	11.44	11.60	10.67	11.03
Feb 08, 2017	11.54	11.63	11.24	11.43
Feb 07, 2017	11.43	11.61	11.41	11.52
Feb 06, 2017	11.35	11.48	11.34	11.39
Feb 05, 2017	11.44	11.49	11.32	11.35
Feb 04, 2017	11.13	11.50	11.13	11.43
Feb 03, 2017	10.81	11.11	10.76	11.11
Feb 02, 2017	10.74	10.89	10.55	10.82
Feb 01, 2017	10.74	10.85	10.56	10.73
Jan 31, 2017	10.56	10.75	10.54	10.73
Jan 30, 2017	10.49	10.71	10.47	10.57
Jan 29, 2017	10.56	10.57	10.45	10.48
Jan 28, 2017	10.54	10.58	10.43	10.56
Jan 27, 2017	10.58	10.61	10.44	10.54
Jan 26, 2017	10.57	10.67	10.51	10.59
Jan 25, 2017	10.62	10.62	10.48	10.57
Jan 24, 2017	10.73	10.77	10.57	10.63
Jan 23, 2017	10.71	10.84	10.67	10.82
