Date	Open	High	Low	Close
Jan 18, 2018	186.95	207.02	176.83	192.84
Jan 17, 2018	190.15	197.79	141.01	186.52
Jan 16, 2018	232.82	232.82	152.29	188.33
Jan 15, 2018	237.29	245.00	232.77	232.77
Jan 14, 2018	260.58	270.85	234.27	238.68
Jan 13, 2018	236.88	263.19	236.88	259.19
Jan 12, 2018	229.79	243.59	224.82	236.86
Jan 11, 2018	251.52	255.05	223.00	229.37
Jan 10, 2018	248.07	251.05	233.86	250.52
Jan 09, 2018	254.61	258.50	240.18	247.04
Jan 08, 2018	287.73	289.07	237.66	255.76
Jan 07, 2018	296.05	305.53	281.93	288.45
Jan 06, 2018	249.77	323.12	249.41	296.45
Jan 05, 2018	241.03	256.15	237.88	249.27
Jan 04, 2018	245.47	245.47	227.01	241.37
Jan 03, 2018	255.69	260.74	243.13	245.37
Jan 02, 2018	228.99	263.63	228.99	255.68
Jan 01, 2018	231.67	236.63	222.20	229.03
Dec 31, 2017	216.97	237.79	213.81	232.10
Dec 30, 2017	245.09	245.43	208.20	218.96
Dec 29, 2017	250.35	258.04	238.33	245.50
Dec 28, 2017	272.13	273.18	231.38	249.93
Dec 27, 2017	286.59	290.94	264.42	272.17
Dec 26, 2017	273.11	289.51	272.26	286.50
Dec 25, 2017	277.49	286.79	269.57	273.39
Dec 24, 2017	291.01	291.01	251.04	275.98
Dec 23, 2017	269.27	312.67	261.64	288.27
Dec 22, 2017	319.26	320.30	187.48	264.93
Dec 21, 2017	314.66	339.74	299.53	317.46
Dec 20, 2017	349.60	349.60	308.63	314.62
Dec 19, 2017	359.13	375.29	335.68	350.25
Dec 18, 2017	318.95	360.93	302.00	358.34
Dec 17, 2017	301.78	332.59	301.78	318.72
Dec 16, 2017	299.34	309.90	290.13	298.97
Dec 15, 2017	280.97	316.41	251.22	299.78
Dec 14, 2017	301.20	311.32	265.66	279.33
Dec 13, 2017	315.36	341.80	287.48	302.60
Dec 12, 2017	212.46	341.72	209.68	316.16
Dec 11, 2017	148.26	225.29	147.34	214.20
Dec 10, 2017	155.63	155.63	130.16	148.66
Dec 09, 2017	127.48	171.55	126.59	155.24
Dec 08, 2017	98.33	133.07	95.40	124.85
Dec 07, 2017	99.98	101.34	92.27	98.29
Dec 06, 2017	102.48	104.82	97.31	100.35
Dec 05, 2017	104.28	104.30	101.84	102.40
Dec 04, 2017	101.40	104.24	96.53	104.24
Dec 03, 2017	100.19	106.39	98.10	101.26
Dec 02, 2017	98.94	103.80	98.32	100.28
Dec 01, 2017	88.00	100.41	83.74	99.00
Nov 30, 2017	86.25	93.54	78.08	88.33
Nov 29, 2017	96.01	104.61	81.77	85.57
Nov 28, 2017	91.72	96.03	90.34	96.03
Nov 27, 2017	85.89	93.29	85.89	91.60
Nov 26, 2017	88.94	88.94	84.02	85.93
Nov 25, 2017	77.91	89.37	77.52	88.82
Nov 24, 2017	73.14	77.97	72.81	77.97
Nov 23, 2017	71.98	76.40	70.90	73.22
Nov 22, 2017	70.18	71.95	70.18	71.89
Nov 21, 2017	72.20	72.53	68.11	70.03
Nov 20, 2017	71.41	72.92	70.79	72.25
Nov 19, 2017	69.51	72.98	68.60	71.59
Nov 18, 2017	67.41	69.77	65.71	69.64
Nov 17, 2017	70.45	71.12	65.78	67.57
Nov 16, 2017	63.81	72.48	62.94	71.06
Nov 15, 2017	62.78	65.52	62.71	63.82
Nov 14, 2017	61.64	63.81	60.87	62.68
Nov 13, 2017	59.18	62.76	58.85	61.40
Nov 12, 2017	62.31	62.31	57.41	59.01
Nov 11, 2017	59.35	63.71	59.24	62.30
Nov 10, 2017	64.44	65.90	56.91	59.26
Nov 09, 2017	62.49	66.84	61.73	64.27
Nov 08, 2017	61.11	64.06	60.79	62.57
Nov 07, 2017	54.99	63.81	54.99	61.30
Nov 06, 2017	54.76	56.17	53.95	55.17
Nov 05, 2017	55.03	55.48	54.63	54.75
Nov 04, 2017	56.22	56.37	54.94	55.04
Nov 03, 2017	54.58	56.29	54.28	56.18
Nov 02, 2017	53.56	55.28	50.85	54.74
