Date	Open	High	Low	Close
Jan 30, 2018	0.338261	0.341935	0.282679	0.282679
Jan 29, 2018	0.332905	0.348977	0.320269	0.343890
Jan 28, 2018	0.327574	0.336770	0.323919	0.333915
Jan 27, 2018	0.316835	0.331151	0.303967	0.326521
Jan 26, 2018	0.329196	0.340517	0.297686	0.316020
Jan 25, 2018	0.353355	0.355379	0.318158	0.329882
Jan 24, 2018	0.340479	0.358436	0.325995	0.349271
Jan 23, 2018	0.375521	0.375521	0.311420	0.340955
Jan 22, 2018	0.304311	0.425536	0.304311	0.385011
Jan 21, 2018	0.352873	0.353654	0.286545	0.302511
Jan 20, 2018	0.323906	0.361130	0.321023	0.353128
Jan 19, 2018	0.317238	0.341350	0.302666	0.321826
Jan 18, 2018	0.314257	0.350292	0.294525	0.319579
Jan 17, 2018	0.286608	0.322183	0.221734	0.313655
Jan 16, 2018	0.418344	0.418344	0.241974	0.285467
Jan 15, 2018	0.427539	0.448847	0.416776	0.416776
Jan 14, 2018	0.455967	0.460452	0.408202	0.430622
Jan 13, 2018	0.465524	0.484062	0.448100	0.457034
Jan 12, 2018	0.401625	0.489947	0.392165	0.466118
Jan 11, 2018	0.457650	0.473849	0.386050	0.401719
Jan 10, 2018	0.491763	0.498697	0.434028	0.458427
Jan 09, 2018	0.487833	0.536650	0.480768	0.490285
Jan 08, 2018	0.548572	0.548572	0.436031	0.489280
Jan 07, 2018	0.552162	0.595422	0.538616	0.550889
Jan 06, 2018	0.519948	0.625404	0.482093	0.554009
Jan 05, 2018	0.592661	0.607742	0.503527	0.517191
Jan 04, 2018	0.640088	0.646221	0.588234	0.593549
Jan 03, 2018	0.627283	0.670788	0.568040	0.640471
Jan 02, 2018	0.643200	0.669923	0.584694	0.627515
Jan 01, 2018	0.688276	0.688276	0.601480	0.641351
Dec 31, 2017	0.557568	0.739173	0.534113	0.705943
Dec 30, 2017	0.595956	0.636186	0.461833	0.547691
Dec 29, 2017	0.730633	0.730633	0.570118	0.603797
Dec 28, 2017	1.25	1.26	0.648934	0.732203
Dec 27, 2017	1.48	1.69	1.20	1.29
Dec 26, 2017	1.72	1.87	1.39	1.52
Dec 25, 2017	1.81	1.88	1.63	1.72
Dec 24, 2017	1.91	1.99	1.57	1.79
Dec 23, 2017	1.24	2.16	1.22	1.82
Dec 22, 2017	1.23	1.39	0.798541	1.23
Dec 21, 2017	1.17	1.42	1.10	1.22
Dec 20, 2017	0.936251	1.24	0.786655	1.18
Dec 19, 2017	0.986498	1.06	0.863047	0.937264
Dec 18, 2017	0.825393	1.14	0.763747	0.981467
Dec 17, 2017	0.685655	0.872243	0.681070	0.824313
Dec 16, 2017	0.674764	0.713393	0.668432	0.686920
Dec 15, 2017	0.702525	0.712453	0.606007	0.682288
Dec 14, 2017	0.692443	0.735987	0.659692	0.702116
Dec 13, 2017	0.674576	0.796036	0.626064	0.696744
Dec 12, 2017	0.643664	0.700721	0.623867	0.687444
Dec 11, 2017	0.556815	0.700691	0.556815	0.646495
Dec 10, 2017	0.617848	0.617848	0.436205	0.558318
Dec 09, 2017	0.664305	0.693342	0.507583	0.607780
Dec 08, 2017	0.698858	0.736619	0.566458	0.658027
Dec 07, 2017	0.471483	0.802436	0.436815	0.721156
Dec 06, 2017	0.411315	0.531594	0.370998	0.472801
Dec 05, 2017	0.449818	0.449818	0.406414	0.406414
Dec 04, 2017	0.427488	0.503917	0.422132	0.449105
Dec 03, 2017	0.348566	0.490224	0.332905	0.428741
Dec 02, 2017	0.227519	0.399538	0.224983	0.366774
Dec 01, 2017	0.179009	0.229708	0.167489	0.228993
Nov 30, 2017	0.163436	0.188106	0.151074	0.179131
Nov 29, 2017	0.197063	0.222131	0.158174	0.160994
Nov 28, 2017	0.197875	0.212616	0.186457	0.196383
Nov 27, 2017	0.165864	0.223369	0.165688	0.198885
Nov 26, 2017	0.134390	0.165456	0.122909	0.165456
Nov 25, 2017	0.126565	0.140503	0.126565	0.135114
Nov 24, 2017	0.111481	0.126484	0.104170	0.126009
Nov 23, 2017	0.126474	0.127885	0.108991	0.112254
Nov 22, 2017	0.124743	0.148261	0.119321	0.126158
Nov 21, 2017	0.090314	0.134536	0.090314	0.125854
Nov 20, 2017	0.077230	0.097157	0.075080	0.090254
Nov 19, 2017	0.075365	0.079880	0.075230	0.077259
Nov 18, 2017	0.068646	0.075759	0.067861	0.075759
Nov 17, 2017	0.069938	0.070775	0.067872	0.069890
Nov 16, 2017	0.068951	0.072113	0.065614	0.069928
Nov 15, 2017	0.066884	0.069599	0.066272	0.068737
Nov 14, 2017	0.063269	0.068251	0.062382	0.066791
Nov 13, 2017	0.060764	0.065963	0.059929	0.063419
Nov 12, 2017	0.068062	0.068062	0.058656	0.060480
Nov 11, 2017	0.064097	0.069669	0.059893	0.068138
Nov 10, 2017	0.072113	0.073465	0.061475	0.064071
Nov 09, 2017	0.064538	0.075161	0.061113	0.071503
Nov 08, 2017	0.058730	0.064688	0.057946	0.064500
Nov 07, 2017	0.055911	0.059337	0.055248	0.059105
Nov 06, 2017	0.057226	0.058785	0.054739	0.055975
Nov 05, 2017	0.056425	0.058565	0.055125	0.057094
Nov 04, 2017	0.058178	0.058335	0.054712	0.056574
Nov 03, 2017	0.060299	0.060299	0.054731	0.057324
Nov 02, 2017	0.056131	0.064183	0.051210	0.061484
Nov 01, 2017	0.058259	0.058810	0.055387	0.056125
Oct 31, 2017	0.058377	0.059364	0.057720	0.058260
Oct 30, 2017	0.059045	0.059704	0.058170	0.058622
Oct 29, 2017	0.058239	0.061038	0.057840	0.059357
Oct 28, 2017	0.059366	0.060387	0.058275	0.058275
Oct 27, 2017	0.060047	0.061158	0.058084	0.059179
Oct 26, 2017	0.060851	0.062961	0.059361	0.060045
Oct 25, 2017	0.061414	0.062021	0.059361	0.060751
Oct 24, 2017	0.058568	0.065662	0.057648	0.061198
Oct 23, 2017	0.061056	0.061261	0.056541	0.058529
Oct 22, 2017	0.062099	0.064432	0.059910	0.060803
Oct 21, 2017	0.062402	0.063410	0.058415	0.061944
Oct 20, 2017	0.065076	0.066605	0.062436	0.063437
Oct 19, 2017	0.066645	0.067398	0.062969	0.065116
Oct 18, 2017	0.066623	0.067069	0.061446	0.066639
Oct 17, 2017	0.069278	0.070010	0.065622	0.066945
Oct 16, 2017	0.067115	0.074696	0.066433	0.069312
Oct 15, 2017	0.067969	0.073371	0.064375	0.067413
Oct 14, 2017	0.063221	0.074125	0.062242	0.068486
Oct 13, 2017	0.063965	0.065623	0.061042	0.063232
Oct 12, 2017	0.066481	0.067125	0.062608	0.064574
Oct 11, 2017	0.066689	0.068474	0.065301	0.066505
Oct 10, 2017	0.062192	0.070596	0.062192	0.066919
Oct 09, 2017	0.068749	0.071005	0.060591	0.062372
Oct 08, 2017	0.079448	0.083006	0.067538	0.068444
Oct 07, 2017	0.066161	0.084642	0.065341	0.079690
Oct 06, 2017	0.063404	0.070477	0.062449	0.066085
Oct 05, 2017	0.063043	0.064443	0.059835	0.063342
Oct 04, 2017	0.066905	0.066929	0.062313	0.063072
Oct 03, 2017	0.070884	0.070884	0.062927	0.066620
Oct 02, 2017	0.074984	0.075165	0.069671	0.070881
Oct 01, 2017	0.076697	0.077655	0.073803	0.074751
Sep 30, 2017	0.070620	0.076488	0.069262	0.076488
Sep 29, 2017	0.072396	0.073093	0.066474	0.071052
Sep 28, 2017	0.076309	0.079244	0.071541	0.072449
Sep 27, 2017	0.065662	0.074724	0.065572	0.074724
Sep 26, 2017	0.063975	0.068647	0.062752	0.065710
Sep 25, 2017	0.059612	0.064237	0.059484	0.063894
Sep 24, 2017	0.061674	0.062831	0.059025	0.059606
Sep 23, 2017	0.058613	0.063440	0.057739	0.061825
Sep 22, 2017	0.059350	0.060934	0.054911	0.058817
Sep 21, 2017	0.067365	0.068672	0.057735	0.059259
Sep 20, 2017	0.069252	0.071213	0.065773	0.067742
Sep 19, 2017	0.076447	0.076896	0.068024	0.068958
Sep 18, 2017	0.067254	0.076894	0.067254	0.076242
Sep 17, 2017	0.063349	0.071900	0.057286	0.067395
Sep 16, 2017	0.065238	0.067700	0.058835	0.063342
Sep 15, 2017	0.055217	0.069452	0.042050	0.065516
Sep 14, 2017	0.076772	0.077301	0.054695	0.054695
Sep 13, 2017	0.083857	0.084284	0.072632	0.076776
Sep 12, 2017	0.082856	0.097096	0.082654	0.084199
Sep 11, 2017	0.083914	0.086836	0.081157	0.082828
Sep 10, 2017	0.088247	0.088247	0.076804	0.084298
Sep 09, 2017	0.088439	0.090769	0.084782	0.088337
Sep 08, 2017	0.104115	0.114838	0.082826	0.087520
Sep 07, 2017	0.106555	0.109775	0.101096	0.103844
Sep 06, 2017	0.090424	0.106607	0.090086	0.106607
Sep 05, 2017	0.088438	0.091453	0.076482	0.090720
Sep 04, 2017	0.106745	0.106887	0.083013	0.088583
Sep 03, 2017	0.106365	0.111047	0.102349	0.106711
Sep 02, 2017	0.119236	0.121954	0.105135	0.106538
Sep 01, 2017	0.112879	0.119231	0.112611	0.119231
Aug 31, 2017	0.113267	0.115118	0.111329	0.112688
Aug 30, 2017	0.110858	0.113526	0.108873	0.113287
Aug 29, 2017	0.113617	0.114160	0.109194	0.110692
Aug 28, 2017	0.115252	0.115252	0.109408	0.113367
Aug 27, 2017	0.110561	0.118645	0.107584	0.114978
Aug 26, 2017	0.114791	0.115288	0.106168	0.110877
Aug 25, 2017	0.117604	0.119893	0.110263	0.114595
Aug 24, 2017	0.122219	0.124958	0.117324	0.117535
Aug 23, 2017	0.108269	0.138674	0.107734	0.122667
Aug 22, 2017	0.107823	0.110300	0.101121	0.108447
Aug 21, 2017	0.113574	0.115395	0.103457	0.108490
Aug 20, 2017	0.103508	0.115961	0.100162	0.114357
Aug 19, 2017	0.102179	0.109592	0.092903	0.104418
Aug 18, 2017	0.109866	0.109866	0.101584	0.103049
Aug 17, 2017	0.108800	0.119095	0.106411	0.109975
Aug 16, 2017	0.109995	0.115183	0.107402	0.109320
Aug 15, 2017	0.108856	0.121561	0.102437	0.109909
Aug 14, 2017	0.128583	0.133475	0.106611	0.109403
Aug 13, 2017	0.115896	0.128857	0.110551	0.128857
Aug 12, 2017	0.128562	0.134607	0.114902	0.115752
Aug 11, 2017	0.130984	0.136269	0.121770	0.128038
Aug 10, 2017	0.143020	0.143020	0.131148	0.131234
Aug 09, 2017	0.142711	0.147259	0.139159	0.143389
Aug 08, 2017	0.152590	0.152590	0.137660	0.142463
Aug 07, 2017	0.130775	0.153180	0.126928	0.152942
Aug 06, 2017	0.147259	0.152264	0.130401	0.130977
Aug 05, 2017	0.156700	0.169184	0.143188	0.149098
Aug 04, 2017	0.164495	0.179605	0.157530	0.157549
Aug 03, 2017	0.179101	0.180701	0.158068	0.164285
Aug 02, 2017	0.143026	0.188802	0.138195	0.180510
Aug 01, 2017	0.105880	0.145773	0.104145	0.142859
Jul 31, 2017	0.099096	0.108256	0.096182	0.106096
Jul 30, 2017	0.103573	0.105112	0.098707	0.099528
Jul 29, 2017	0.100506	0.103884	0.095962	0.103745
Jul 28, 2017	0.108469	0.109360	0.100071	0.100955
Jul 27, 2017	0.106313	0.109742	0.103599	0.108135
Jul 26, 2017	0.104151	0.114244	0.096855	0.105473
Jul 25, 2017	0.124660	0.125811	0.097882	0.104221
Jul 24, 2017	0.129119	0.130561	0.120138	0.124598
Jul 23, 2017	0.147012	0.147834	0.119697	0.128511
Jul 22, 2017	0.126923	0.148674	0.126530	0.147190
Jul 21, 2017	0.120876	0.136678	0.117291	0.127412
Jul 20, 2017	0.087419	0.125580	0.087419	0.119918
Jul 19, 2017	0.081317	0.102689	0.075768	0.087220
Jul 18, 2017	0.075111	0.085010	0.070034	0.080659
Jul 17, 2017	0.062898	0.076625	0.062898	0.074897
Jul 16, 2017	0.069960	0.072820	0.058375	0.063136
Jul 15, 2017	0.077847	0.078218	0.068186	0.070498
Jul 14, 2017	0.083821	0.087055	0.073077	0.078036
Jul 13, 2017	0.091080	0.102754	0.079632	0.084125
Jul 12, 2017	0.078524	0.091930	0.071244	0.090346
Jul 11, 2017	0.089768	0.092160	0.074597	0.079291
Jul 10, 2017	0.103592	0.116960	0.084949	0.089619
Jul 09, 2017	0.117951	0.132976	0.102974	0.102974
Jul 08, 2017	0.100959	0.118040	0.089181	0.117800
Jul 07, 2017	0.127834	0.128266	0.100726	0.101308
