Date	Open	High	Low	Close
Mar 14, 2018	5.43	5.56	4.64	4.82
Mar 13, 2018	5.44	5.68	5.25	5.44
Mar 12, 2018	5.83	6.03	5.33	5.47
Mar 11, 2018	5.34	5.88	5.10	5.85
Mar 10, 2018	5.71	5.94	5.28	5.36
Mar 09, 2018	5.78	5.84	4.97	5.70
Mar 08, 2018	6.21	6.55	5.76	5.82
Mar 07, 2018	7.34	7.52	6.06	6.21
Mar 06, 2018	8.10	8.10	7.14	7.34
Mar 05, 2018	8.33	8.45	8.08	8.13
Mar 04, 2018	8.22	8.37	7.90	8.32
Mar 03, 2018	8.02	8.98	8.02	8.27
Mar 02, 2018	7.57	8.21	7.44	8.04
Mar 01, 2018	7.38	7.65	7.03	7.60
Feb 28, 2018	7.80	7.98	7.35	7.35
Feb 27, 2018	7.59	7.94	7.45	7.80
Feb 26, 2018	7.42	7.80	7.00	7.60
Feb 25, 2018	7.35	7.63	7.13	7.38
Feb 24, 2018	7.65	8.01	7.04	7.37
Feb 23, 2018	7.24	8.13	6.89	7.65
Feb 22, 2018	8.23	8.51	7.14	7.27
Feb 21, 2018	9.07	9.12	7.92	8.25
Feb 20, 2018	9.91	10.17	9.02	9.13
Feb 19, 2018	9.26	10.18	9.10	9.95
Feb 18, 2018	9.76	9.78	8.82	9.26
Feb 17, 2018	9.53	9.95	9.42	9.76
Feb 16, 2018	9.50	9.79	9.00	9.56
Feb 15, 2018	9.26	9.76	9.08	9.54
Feb 14, 2018	7.91	9.74	7.91	9.36
Feb 13, 2018	7.93	8.24	7.55	7.95
Feb 12, 2018	7.03	7.98	7.03	7.90
Feb 11, 2018	7.84	7.84	6.61	6.99
Feb 10, 2018	8.26	8.86	7.19	7.86
Feb 09, 2018	7.31	8.22	6.95	8.21
Feb 08, 2018	6.42	7.36	6.42	7.35
Feb 07, 2018	6.83	7.53	6.15	6.49
Feb 06, 2018	6.09	7.12	4.75	6.86
Feb 05, 2018	7.94	8.15	5.63	6.09
Feb 04, 2018	9.66	9.79	7.43	7.99
Feb 03, 2018	9.40	10.19	8.34	9.66
Feb 02, 2018	10.10	10.10	7.16	9.33
Feb 01, 2018	12.36	12.87	9.50	10.15
Jan 31, 2018	11.99	12.78	11.12	12.29
Jan 30, 2018	14.87	14.87	11.76	11.97
Jan 29, 2018	14.62	14.90	13.73	14.82
Jan 28, 2018	14.45	15.16	14.21	14.64
Jan 27, 2018	13.46	15.39	13.18	14.42
Jan 26, 2018	12.64	14.13	11.22	13.37
Jan 25, 2018	12.84	13.14	12.11	12.68
Jan 24, 2018	12.37	13.02	11.94	12.64
Jan 23, 2018	11.55	13.29	10.96	12.46
Jan 22, 2018	13.43	14.06	10.85	11.73
Jan 21, 2018	16.06	16.06	12.82	13.29
Jan 20, 2018	14.98	16.46	14.97	16.10
Jan 19, 2018	14.41	15.94	13.91	14.84
Jan 18, 2018	14.84	16.20	13.51	14.59
Jan 17, 2018	14.93	15.63	10.66	14.74
Jan 16, 2018	20.85	20.85	11.87	14.94
Jan 15, 2018	19.67	22.20	19.33	20.81
Jan 14, 2018	19.94	20.16	17.62	19.93
Jan 13, 2018	18.62	20.35	18.53	19.96
Jan 12, 2018	16.18	20.00	15.58	18.69
Jan 11, 2018	19.26	19.40	14.82	16.09
Jan 10, 2018	19.35	19.63	17.18	19.24
Jan 09, 2018	21.94	21.94	18.84	19.53
Jan 08, 2018	17.03	22.66	17.03	21.75
Jan 07, 2018	16.07	17.86	15.91	17.05
Jan 06, 2018	15.10	16.82	14.82	16.19
Jan 05, 2018	16.00	16.20	14.41	15.19
Jan 04, 2018	16.84	17.24	15.15	16.06
Jan 03, 2018	16.09	17.25	14.70	16.96
Jan 02, 2018	15.84	16.61	14.39	16.08
Jan 01, 2018	14.07	16.73	13.48	15.70
Dec 31, 2017	12.86	14.32	12.65	14.03
Dec 30, 2017	15.13	15.13	12.05	13.00
Dec 29, 2017	14.44	15.89	13.99	15.15
Dec 28, 2017	13.78	14.65	11.45	14.22
Dec 27, 2017	14.98	14.98	13.23	13.84
Dec 26, 2017	15.15	16.12	13.67	14.92
Dec 25, 2017	14.39	16.54	13.00	15.30
Dec 24, 2017	13.49	15.54	12.25	14.29
Dec 23, 2017	10.02	16.04	9.71	13.24
Dec 22, 2017	12.91	13.16	7.61	9.92
Dec 21, 2017	11.22	14.27	11.17	12.93
Dec 20, 2017	11.97	12.03	10.23	11.19
Dec 19, 2017	12.76	13.32	11.46	11.99
Dec 18, 2017	11.26	14.00	10.80	12.67
Dec 17, 2017	10.58	11.76	10.45	11.26
Dec 16, 2017	9.85	10.87	9.68	10.81
Dec 15, 2017	9.81	9.95	8.79	9.89
Dec 14, 2017	9.45	10.04	9.14	9.78
Dec 13, 2017	10.13	10.25	9.16	9.54
Dec 12, 2017	10.77	10.95	9.71	10.16
Dec 11, 2017	9.21	11.41	8.86	10.73
Dec 10, 2017	9.23	9.82	7.02	9.20
Dec 09, 2017	9.00	10.26	8.06	9.16
Dec 08, 2017	8.80	10.00	7.57	9.02
