Date	Open	High	Low	Close
Jan 14, 2018	6.50	6.50	5.66	5.94
Jan 13, 2018	6.16	6.63	6.04	6.50
Jan 12, 2018	5.62	6.17	5.41	6.01
Jan 11, 2018	6.56	6.59	5.27	5.63
Jan 10, 2018	6.39	6.81	5.56	6.59
Jan 09, 2018	6.91	7.24	6.39	6.39
Jan 08, 2018	7.12	7.51	6.06	7.01
Jan 07, 2018	7.01	7.56	6.79	7.02
Jan 06, 2018	6.66	7.23	6.25	7.09
Jan 05, 2018	6.89	7.45	6.51	6.60
Jan 04, 2018	7.25	7.25	6.59	6.90
Jan 03, 2018	7.42	7.44	6.84	7.18
Jan 02, 2018	6.90	7.81	6.83	7.43
Jan 01, 2018	6.73	6.86	6.30	6.82
Dec 31, 2017	6.26	6.81	6.12	6.68
Dec 30, 2017	7.18	7.18	5.83	6.38
Dec 29, 2017	7.04	7.49	6.69	7.17
Dec 28, 2017	7.43	7.43	6.41	6.99
Dec 27, 2017	7.59	7.69	7.02	7.39
Dec 26, 2017	7.53	7.90	7.20	7.61
Dec 25, 2017	7.64	8.00	7.05	7.53
Dec 24, 2017	8.06	8.09	6.67	7.64
Dec 23, 2017	6.86	8.66	6.80	7.95
Dec 22, 2017	9.36	9.67	5.18	6.71
Dec 21, 2017	8.56	10.06	8.25	9.22
Dec 20, 2017	8.99	9.10	7.61	8.56
Dec 19, 2017	9.44	9.96	8.44	8.99
Dec 18, 2017	8.39	9.82	8.12	9.52
Dec 17, 2017	8.51	8.91	8.03	8.36
Dec 16, 2017	7.73	8.66	7.71	7.95
Dec 15, 2017	8.12	8.13	7.09	7.70
Dec 14, 2017	8.13	8.35	7.58	8.15
Dec 13, 2017	8.57	8.68	7.79	8.10
Dec 12, 2017	8.55	8.67	7.95	8.57
Dec 11, 2017	7.72	9.63	7.65	8.44
Dec 10, 2017	8.39	8.39	6.66	7.77
Dec 09, 2017	8.10	9.39	7.50	8.43
Dec 08, 2017	7.09	9.00	6.63	8.06
Dec 07, 2017	8.17	9.66	7.23	7.23
Dec 06, 2017	9.46	10.53	7.93	8.16
Dec 05, 2017	8.37	9.90	8.28	9.47
Dec 04, 2017	7.66	8.50	7.49	8.35
Dec 03, 2017	7.81	8.74	7.30	7.70
Dec 02, 2017	6.47	7.91	6.29	7.77
Dec 01, 2017	5.37	6.69	5.23	6.43
Nov 30, 2017	5.00	5.77	4.77	5.34
Nov 29, 2017	5.14	5.85	4.55	4.93
Nov 28, 2017	5.41	5.50	5.09	5.09
Nov 27, 2017	5.44	5.71	5.18	5.37
Nov 26, 2017	4.93	6.24	4.64	5.47
Nov 25, 2017	3.99	5.03	3.99	4.69
Nov 24, 2017	4.06	4.08	3.91	3.98
Nov 23, 2017	4.11	4.20	3.95	4.09
Nov 22, 2017	3.98	4.27	3.94	4.10
Nov 21, 2017	4.02	4.18	3.81	3.95
Nov 20, 2017	4.23	4.27	3.97	4.04
Nov 19, 2017	4.30	4.55	4.07	4.22
Nov 18, 2017	4.17	4.74	4.00	4.32
Nov 17, 2017	4.22	4.35	4.03	4.15
Nov 16, 2017	4.40	4.47	4.08	4.16
Nov 15, 2017	4.36	4.67	4.07	4.42
Nov 14, 2017	4.46	4.57	4.21	4.31
Nov 13, 2017	3.79	4.67	3.79	4.45
Nov 12, 2017	4.33	4.33	3.36	3.75
Nov 11, 2017	4.11	4.68	3.89	4.32
Nov 10, 2017	4.78	4.84	3.77	4.19
Nov 09, 2017	4.62	5.23	4.62	4.84
Nov 08, 2017	3.57	5.21	3.48	4.65
Nov 07, 2017	3.65	3.69	3.34	3.61
Nov 06, 2017	3.65	3.98	3.61	3.66
Nov 05, 2017	3.92	3.94	3.45	3.68
Nov 04, 2017	4.00	4.38	3.76	4.07
Nov 03, 2017	3.38	4.32	2.88	3.74
Nov 02, 2017	4.07	4.57	3.25	3.40
Nov 01, 2017	5.18	5.79	4.00	4.12
Oct 31, 2017	5.43	5.70	5.11	5.21
Oct 30, 2017	4.40	5.49	4.29	5.45
Oct 29, 2017	5.10	5.10	4.13	4.34
Oct 28, 2017	4.10	5.50	4.03	5.18
Oct 27, 2017	3.68	4.37	3.62	4.07
Oct 26, 2017	3.07	3.78	2.92	3.68
Oct 25, 2017	3.28	3.65	3.03	3.07
Oct 24, 2017	3.01	3.88	2.70	3.28
Oct 23, 2017	3.37	3.61	2.55	3.02
Oct 22, 2017	2.75	4.66	2.69	3.34
Oct 21, 2017	2.00	2.90	2.00	2.79
Oct 20, 2017	2.12	2.16	1.81	2.03
Oct 19, 2017	1.77	2.23	1.76	2.11
Oct 18, 2017	1.66	1.80	1.47	1.77
Oct 17, 2017	1.74	1.79	1.52	1.66
Oct 16, 2017	1.41	1.81	1.40	1.75
Oct 15, 2017	1.34	1.44	1.26	1.40
Oct 14, 2017	1.22	1.40	1.12	1.34
Oct 13, 2017	1.20	1.31	1.14	1.22
Oct 12, 2017	1.28	1.36	1.17	1.21
Oct 11, 2017	1.16	1.36	1.16	1.28
Oct 10, 2017	1.11	1.38	1.01	1.15
Oct 09, 2017	1.15	1.25	0.877993	1.13
Oct 08, 2017	1.30	1.36	1.12	1.14
Oct 07, 2017	1.45	1.49	1.20	1.32
Oct 06, 2017	1.23	1.51	1.23	1.45
Oct 05, 2017	1.15	1.25	1.10	1.23
Oct 04, 2017	1.05	1.20	1.03	1.15
Oct 03, 2017	0.991218	1.07	0.942849	1.05
Oct 02, 2017	1.05	1.08	0.989179	0.990215
Oct 01, 2017	1.03	1.06	0.971721	1.06
Sep 30, 2017	1.01	1.10	1.01	1.03
Sep 29, 2017	0.934447	1.05	0.880942	1.02
Sep 28, 2017	1.02	1.05	0.918664	0.934590
Sep 27, 2017	0.982183	1.05	0.961733	1.02
Sep 26, 2017	0.952433	1.10	0.910272	0.975175
Sep 25, 2017	0.981920	1.02	0.929181	0.953256
Sep 24, 2017	1.08	1.10	0.992858	0.992858
Sep 23, 2017	1.09	1.11	0.996794	1.07
Sep 22, 2017	1.30	1.30	0.937755	1.09
Sep 21, 2017	0.949276	1.47	0.949276	1.30
Sep 20, 2017	0.824111	0.959077	0.806837	0.955091
Sep 19, 2017	0.810271	0.922412	0.784926	0.811240
Sep 18, 2017	0.688659	0.811638	0.678429	0.810876
Sep 17, 2017	0.633736	0.792006	0.587567	0.688848
Sep 16, 2017	0.687695	0.687695	0.588681	0.629889
