Date	Open	High	Low	Close
Mar 14, 2018	0.789569	0.799080	0.676010	0.701902
Mar 13, 2018	0.798451	0.805729	0.778471	0.789711
Mar 12, 2018	0.832127	0.838328	0.787882	0.801048
Mar 11, 2018	0.795765	0.840407	0.775737	0.831122
Mar 10, 2018	0.854872	0.860443	0.793736	0.796627
Mar 09, 2018	0.826122	0.856182	0.751485	0.849761
Mar 08, 2018	0.872508	0.888562	0.825387	0.825857
Mar 07, 2018	0.924378	0.930659	0.824895	0.871210
Mar 06, 2018	0.954448	0.991306	0.916863	0.922887
Mar 05, 2018	1.01	1.08	0.956116	0.959368
Mar 04, 2018	0.906008	1.03	0.895618	1.01
Mar 03, 2018	0.908786	0.926512	0.903604	0.907804
Mar 02, 2018	0.926638	0.933912	0.902286	0.910144
Mar 01, 2018	0.904131	0.953796	0.890630	0.928347
Feb 28, 2018	0.944697	0.955550	0.903787	0.904583
Feb 27, 2018	0.959302	0.972580	0.944977	0.947305
Feb 26, 2018	0.943704	0.970906	0.913403	0.956859
Feb 25, 2018	0.951977	0.967597	0.915279	0.943487
Feb 24, 2018	0.997659	1.01	0.929456	0.954402
Feb 23, 2018	0.934176	1.03	0.898286	0.998855
Feb 22, 2018	1.01	1.05	0.922458	0.941788
Feb 21, 2018	1.08	1.10	0.998881	1.02
Feb 20, 2018	1.14	1.17	1.08	1.09
Feb 19, 2018	1.12	1.17	1.12	1.14
Feb 18, 2018	1.20	1.21	1.09	1.12
Feb 17, 2018	1.14	1.22	1.13	1.20
Feb 16, 2018	1.14	1.15	1.11	1.14
Feb 15, 2018	1.14	1.16	1.11	1.15
Feb 14, 2018	1.03	1.17	1.02	1.14
Feb 13, 2018	1.08	1.08	1.01	1.03
Feb 12, 2018	1.01	1.11	1.01	1.08
Feb 11, 2018	1.07	1.08	0.929767	1.00
Feb 10, 2018	0.947251	1.30	0.947251	1.07
Feb 09, 2018	0.797140	0.954428	0.771540	0.954428
Feb 08, 2018	0.729252	0.806970	0.722611	0.805263
Feb 07, 2018	0.774576	0.805478	0.706950	0.723895
Feb 06, 2018	0.705121	0.786004	0.588360	0.776393
Feb 05, 2018	0.825943	0.833866	0.675827	0.691799
Feb 04, 2018	0.913418	0.952947	0.796821	0.815703
Feb 03, 2018	0.891992	0.974799	0.761635	0.924043
Feb 02, 2018	0.960642	0.960642	0.635185	0.884784
Feb 01, 2018	1.16	1.16	0.930378	0.962530
Jan 31, 2018	1.13	1.19	1.04	1.16
Jan 30, 2018	1.33	1.33	1.13	1.14
Jan 29, 2018	1.40	1.41	1.30	1.32
Jan 28, 2018	1.22	1.44	1.22	1.40
Jan 27, 2018	1.22	1.24	1.19	1.22
Jan 26, 2018	1.31	1.33	1.14	1.22
Jan 25, 2018	1.36	1.38	1.29	1.31
Jan 24, 2018	1.35	1.42	1.31	1.36
Jan 23, 2018	1.35	1.43	1.20	1.34
Jan 22, 2018	1.39	1.43	1.16	1.36
Jan 21, 2018	1.58	1.58	1.34	1.38
Jan 20, 2018	1.56	1.63	1.50	1.58
Jan 19, 2018	1.58	1.70	1.50	1.55
Jan 18, 2018	1.31	1.73	1.26	1.60
Jan 17, 2018	1.18	1.38	0.897797	1.31
Jan 16, 2018	1.68	1.70	0.909313	1.18
Jan 15, 2018	1.86	1.90	1.67	1.68
Jan 14, 2018	2.02	2.02	1.81	1.86
Jan 13, 2018	2.05	2.12	1.98	2.02
Jan 12, 2018	1.94	2.16	1.87	2.04
Jan 11, 2018	1.98	2.25	1.62	1.95
