Date	Open	High	Low	Close
Mar 14, 2018	284.55	289.24	246.13	250.69
Mar 13, 2018	290.44	301.77	279.99	284.37
Mar 12, 2018	308.76	314.98	280.21	291.69
Mar 11, 2018	287.68	318.36	278.95	309.70
Mar 10, 2018	310.89	318.73	286.84	288.51
Mar 09, 2018	316.96	320.25	282.48	310.95
Mar 08, 2018	347.68	350.47	315.54	318.39
Mar 07, 2018	384.21	387.00	332.48	347.58
Mar 06, 2018	392.39	392.39	376.93	384.43
Mar 05, 2018	408.78	409.77	391.87	391.87
Mar 04, 2018	386.92	409.29	384.10	409.29
Mar 03, 2018	387.02	406.22	382.61	387.67
Mar 02, 2018	399.43	402.19	375.42	387.84
Mar 01, 2018	382.62	402.42	381.24	400.28
Feb 28, 2018	408.52	416.71	382.03	382.03
Feb 27, 2018	405.05	418.40	400.20	408.97
Feb 26, 2018	391.65	414.70	384.44	404.24
Feb 25, 2018	391.60	396.78	382.17	391.25
Feb 24, 2018	415.35	423.30	379.90	392.28
Feb 23, 2018	396.84	424.32	382.68	416.32
Feb 22, 2018	441.61	449.35	396.53	397.79
Feb 21, 2018	438.75	463.42	418.26	434.80
Feb 20, 2018	474.24	482.53	436.72	438.57
Feb 19, 2018	449.52	486.84	447.04	472.97
Feb 18, 2018	491.61	492.31	447.43	451.02
Feb 17, 2018	480.43	495.78	475.58	490.84
Feb 16, 2018	484.19	495.66	465.98	481.52
Feb 15, 2018	483.83	489.54	465.38	486.75
Feb 14, 2018	445.52	485.37	445.52	483.79
Feb 13, 2018	462.04	463.24	432.72	447.13
Feb 12, 2018	436.66	472.46	436.66	462.24
Feb 11, 2018	482.73	482.73	412.92	434.16
Feb 10, 2018	475.10	511.75	460.09	483.42
Feb 09, 2018	437.10	476.12	401.43	475.72
Feb 08, 2018	355.69	437.83	355.69	435.91
Feb 07, 2018	368.75	391.06	327.84	354.35
Feb 06, 2018	307.35	375.39	262.31	372.38
Feb 05, 2018	343.02	349.36	281.14	303.61
Feb 04, 2018	388.73	404.10	333.99	346.91
Feb 03, 2018	384.51	405.03	345.66	388.55
Feb 02, 2018	398.83	398.83	306.53	383.55
Feb 01, 2018	399.26	409.40	367.09	400.74
Jan 31, 2018	383.87	398.27	362.60	397.88
Jan 30, 2018	448.92	448.92	381.45	383.47
Jan 29, 2018	471.43	476.64	443.14	448.62
Jan 28, 2018	453.47	476.91	453.47	471.99
Jan 27, 2018	456.53	465.78	437.08	451.69
Jan 26, 2018	473.68	491.47	429.65	456.94
Jan 25, 2018	457.58	475.46	451.97	472.97
Jan 24, 2018	442.12	465.27	428.28	451.73
Jan 23, 2018	446.40	468.72	406.75	442.00
Jan 22, 2018	492.55	507.23	416.30	446.79
Jan 21, 2018	559.72	561.81	479.30	487.02
Jan 20, 2018	528.86	565.23	518.56	557.60
Jan 19, 2018	486.59	553.12	482.91	524.34
Jan 18, 2018	497.68	540.89	484.21	490.08
Jan 17, 2018	509.27	528.83	397.98	496.82
Jan 16, 2018	627.14	685.68	460.10	513.66
Jan 15, 2018	671.73	685.82	627.99	627.99
Jan 14, 2018	701.85	720.03	652.39	675.76
Jan 13, 2018	703.76	721.63	693.48	701.58
Jan 12, 2018	651.18	719.57	622.29	700.81
Jan 11, 2018	719.10	729.01	609.46	646.60
Jan 10, 2018	672.39	728.46	630.14	721.40
Jan 09, 2018	693.24	723.29	644.06	672.78
Jan 08, 2018	884.27	896.28	601.87	695.49
Jan 07, 2018	756.37	955.26	750.39	880.76
Jan 06, 2018	587.91	780.84	578.69	764.26
Jan 05, 2018	590.87	606.11	573.83	588.86
Jan 04, 2018	583.08	602.00	539.10	595.19
Jan 03, 2018	581.29	593.67	561.58	581.89
Jan 02, 2018	578.08	624.97	576.00	583.51
Jan 01, 2018	508.00	621.69	489.34	577.19
Dec 31, 2017	482.82	516.36	478.63	505.51
Dec 30, 2017	574.10	574.10	478.66	486.45
Dec 29, 2017	507.97	601.50	483.99	571.90
Dec 28, 2017	552.58	560.12	490.40	507.26
Dec 27, 2017	574.16	590.16	540.62	554.07
Dec 26, 2017	560.00	573.98	551.84	573.98
Dec 25, 2017	536.13	575.16	511.03	558.84
Dec 24, 2017	595.39	595.39	449.03	532.50
Dec 23, 2017	542.19	637.24	498.77	594.62
Dec 22, 2017	652.92	656.02	381.48	536.68
Dec 21, 2017	674.66	743.96	622.92	651.49
Dec 20, 2017	613.29	740.69	555.81	675.55
Dec 19, 2017	595.79	635.55	560.39	613.91
Dec 18, 2017	538.45	600.69	497.31	596.16
Dec 17, 2017	471.63	562.00	470.36	537.18
Dec 16, 2017	469.39	498.33	459.92	469.64
Dec 15, 2017	510.82	510.82	423.73	467.15
Dec 14, 2017	416.41	529.77	415.50	510.91
Dec 13, 2017	372.13	437.24	356.12	414.69
Dec 12, 2017	320.55	379.12	320.55	373.03
Dec 11, 2017	290.03	323.36	284.70	319.96
Dec 10, 2017	317.28	321.55	288.40	291.10
Dec 09, 2017	327.78	353.35	309.25	316.63
Dec 08, 2017	308.04	339.99	295.02	328.07
Dec 07, 2017	339.87	341.80	301.87	308.39
Dec 06, 2017	322.92	372.85	319.57	338.87
Dec 05, 2017	330.96	331.05	319.00	323.39
Dec 04, 2017	323.08	333.39	316.02	330.51
Dec 03, 2017	329.53	341.84	311.27	322.81
Dec 02, 2017	335.38	342.73	320.11	329.30
Dec 01, 2017	306.19	338.11	292.63	335.98
Nov 30, 2017	309.42	330.78	267.70	308.49
Nov 29, 2017	371.17	380.57	300.73	306.07
Nov 28, 2017	347.66	375.42	346.12	371.24
Nov 27, 2017	340.18	347.51	332.85	347.51
Nov 26, 2017	344.83	346.80	333.71	340.14
Nov 25, 2017	348.59	359.86	336.84	344.70
Nov 24, 2017	310.44	351.50	301.56	346.36
Nov 23, 2017	319.45	320.54	303.16	311.55
Nov 22, 2017	290.89	321.28	290.89	319.73
Nov 21, 2017	301.87	307.82	281.85	290.64
Nov 20, 2017	299.32	304.26	296.36	302.17
Nov 19, 2017	298.22	302.59	294.51	299.33
Nov 18, 2017	290.83	304.79	287.20	298.15
Nov 17, 2017	293.39	294.76	283.98	291.19
Nov 16, 2017	290.25	320.95	288.50	294.91
Nov 15, 2017	271.17	297.92	271.17	290.56
Nov 14, 2017	265.58	275.89	263.64	271.44
Nov 13, 2017	298.73	298.73	258.33	265.45
