"","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33","TC_1_1.34","TC_1_1.35","TC_1_1.36","TC_1_1.37"
"NÚMERO SECUENCIAL",573234,573220,573204,573214,573230,573210,573224,573202,573200,573226,573236,573206,573208,573218,573228,573212,710584,710585,710588,1177974,710590,1666106,1148988,710593,710586,710587,710594,710595,1161054,1161056,1161060,1161036,1161040,1161044,1161048,1610012,1610010
"DESCRIPCIÓN DE LA SERIE","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar USA. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Yen japonés. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Franco suizo. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Libra esterlina. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona sueca. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona danesa. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona noruega. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar canadiense. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar australiano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar neozelandés. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Derechos especiales de giro. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Libra chipriota. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona checa. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Forint húngaro. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Zloty polaco. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona estona. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona eslovaca. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona islandesa. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Lats letón. Moneda base: Euro. ","Tipos de cambio. Nuevos lei rumanos por euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Lev búlgaro. Moneda base: Euro. ","Tipos de cambio. Rupias indias por euro","Tipos de cambio. Nuevas liras turcas por euro.","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Litas lituano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar de Hong Kong. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar de Singapur. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Rand sudafricano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Won surcoreano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Yuan renminbi chino. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Kuna croata. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Rupia indonesia. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Ringgit malasio. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Peso filipino. Moneda base: Euro. ","Tipos de cambio. Rublos rusos por euro ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Baht tailandes. Moneda base: Euro. ","Tipos de cambio. Pesos mejicanos por euro ","Tipos de cambio. Reales brasileños por euro"
"DESCRIPCIÓN DE LAS UNIDADES","Dólares de Estados Unidos por Euro","Yenes japoneses por Euro","Francos suizos por Euro","Libras esterlinas por Euro","Coronas suecas por Euro","Coronas danesas por Euro","Coronas noruegas por Euro","Dólares canadienses por Euro","Dólares australianos por Euro","Dólares neozelandeses por Euro","SDR (Derechos especiales de giro) por Euro","Libras chipriotas por Euro","Coronas checas por Euro","Forints húngaros por Euro","Zlotys polacos por Euro","Coronas estonas por Euro","Coronas eslovacas por Euro","Coronas islandesas por Euro","Lati letones por Euro","Lei rumanos por Euro","Leva búlgaros por Euro","Rupias indias por euro","Liras turcas por Euro","Litai lituanos por Euro","Dólares de Hong Kong por Euro","Dólares de Singapur por Euro","Rands sudafricanos por Euro","Wons surcoreanos por Euro","Yuans por Euro","Kunas por Euro","Rupias indonesias por Euro","Ringgits malayo por Euro","Pesos filipinos por Euro","Rublos rusos por Euro","Bahts de tailandia por Euro","Pesos mejicanos por Euro","Reales brasileños por Euro"
"04 ENE1999",1.1789,133.7300,1.6168,0.71110,9.4696,7.4501,8.8550,1.8004,1.9100,2.2229,0.8356,0.5823,35.1070,251.4800,4.0712,15.6466,42.9910,81.4800,0.6668,13111.0000,"_","_",372274.0000,4.7170,9.1332,1.9554,6.9358,1398.5900,"_","_",9433.6100,4.4798,45.5100,25.2875,42.6799,11.6446,"_"
"05 ENE1999",1.1790,130.9600,1.6123,0.71220,9.4025,7.4495,8.7745,1.7965,1.8944,2.2011,0.8325,0.5823,34.9170,250.8000,4.0245,15.6466,42.8480,81.5300,0.6657,13168.0000,"_","_",372816.0000,4.7174,9.1341,1.9655,6.7975,1373.0100,"_","_",9314.5100,4.4805,44.7450,26.5876,42.5048,11.5960,"_"
"06 ENE1999",1.1743,131.4200,1.6116,0.70760,9.3050,7.4452,8.7335,1.7711,1.8820,2.1890,0.8306,0.5820,34.8500,250.6700,4.0065,15.6466,42.7780,81.5400,0.6649,13168.0000,"_","_",372188.0000,4.6994,9.1010,1.9699,6.7307,1359.5400,"_","_",9337.6800,4.4637,44.8720,27.4315,42.6949,11.4705,"_"
"07 ENE1999",1.1632,129.4300,1.6165,0.70585,9.1800,7.4431,8.6295,1.7602,1.8474,2.1531,0.8246,0.5819,34.8860,250.0900,4.0165,15.6466,42.7650,81.0600,0.6627,13092.0000,"_","_",370147.0000,4.6548,9.0131,1.9436,6.8283,1337.1600,"_","_",9218.7700,4.4203,44.4360,26.9876,42.1678,11.5511,"_"
"08 ENE1999",1.1659,130.0900,1.6138,0.70940,9.1650,7.4433,8.5900,1.7643,1.8406,2.1557,0.8283,0.5819,34.9380,250.1500,4.0363,15.6466,42.5600,80.9900,0.6654,13143.0000,"_","_",371830.0000,4.6643,9.0302,1.9537,6.7855,1366.7300,"_","_",9321.6300,4.4295,44.2950,27.2075,42.5590,11.4414,"_"
"11 ENE1999",1.1569,126.3300,1.6104,0.70440,9.0985,7.4433,8.5585,1.7463,1.8134,2.1257,0.8191,0.5817,35.1730,249.7000,4.0320,15.6466,42.5090,80.5500,0.6586,12980.0000,"_","_",372471.0000,4.6296,8.9655,1.9358,6.7910,1356.7000,"_","_",9255.6100,4.3970,43.5650,27.0148,41.9568,11.4322,"_"
"12 ENE1999",1.1520,129.6300,1.6072,0.70660,9.0955,7.4430,8.6100,1.7392,1.8090,2.1210,0.8234,0.5814,35.2500,249.2000,4.0330,15.6466,42.4900,80.5900,0.6601,12912.0000,"_","_",372105.0000,4.6088,8.9246,1.9343,6.9581,1353.4300,"_","_",9301.2000,4.3770,43.6560,26.6366,41.9850,11.4897,"_"
"13 ENE1999",1.1744,131.8900,1.5931,0.70840,9.1400,7.4432,8.7470,1.8123,1.8620,2.1744,0.8332,0.5819,36.1130,255.0100,4.2033,15.6466,42.7940,81.2400,0.6676,13149.0000,"_","_",376350.0000,4.6986,9.1008,1.9815,7.2543,1377.9300,"_","_",10215.5900,4.4634,45.5730,26.4489,43.4924,12.8946,"_"
"14 ENE1999",1.1653,132.7400,1.5934,0.70620,9.1350,7.4437,8.7245,1.7707,1.8353,2.1570,0.8299,0.5819,35.6980,253.8400,4.1335,15.6466,42.7570,80.9300,0.6659,13134.0000,"_","_",375101.0000,4.6636,9.0288,1.9615,7.1316,1382.2300,"_","_",10081.1600,4.4286,44.8700,26.5723,43.1217,12.1499,"_"
"15 ENE1999",1.1626,131.7400,1.5984,0.70390,9.1570,7.4441,8.7150,1.7797,1.8388,2.1582,0.8261,0.5819,35.8600,253.3400,4.2000,15.6466,42.7380,80.7000,0.6617,13164.0000,"_","_",374193.0000,4.6516,9.0102,1.9570,7.2197,1375.7600,"_","_",10414.7000,4.4172,44.9870,26.5662,43.4042,12.8495,"_"
"18 ENE1999",1.1612,132.9000,1.6004,0.70130,9.0930,7.4431,8.6575,1.7717,1.8292,2.1671,0.8292,0.5816,35.6150,250.7800,4.0667,15.6466,42.7200,80.6200,0.6625,13263.0000,"_","_",382036.0000,4.6457,8.9944,1.9549,6.9596,1371.2600,"_","_",9809.1900,4.4112,44.4030,27.2075,42.3188,11.8813,"_"
