Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2018-01-25 22:35:29,INSBTC,BUY,0.0004435,37.38,0.01657803,0.00703293,BNB
2018-01-25 20:45:54,CNDBTC,SELL,0.00002603,636,0.01655508,0.00698852,BNB
2018-01-25 16:41:44,CNDBTC,BUY,0.00002555,636,0.0162498,0.00687271,BNB
2018-01-24 03:18:39,QSPBTC,SELL,0.0000425,381,0.0161925,0.00663114,BNB
2018-01-22 07:34:12,LINKBTC,BUY,0.0000825,181,0.0149325,0.00625995,BNB
2018-01-21 21:39:11,LINKBTC,SELL,0.0000747,200,0.01494,0.00613754,BNB
2018-01-21 15:42:15,LINKBTC,BUY,0.0000811,200,0.01622,0.00686949,BNB
2018-01-21 12:54:10,QSPBTC,BUY,0.0000389,381,0.0148209,0.00615531,BNB
2017-12-10 00:18:34,EOSETH,SELL,0.008718,9.99,0.08709282,0.00008709,ETH
2017-12-09 15:39:14,EOSETH,BUY,0.00846,10,0.0846,0.01,EOS
